Column1,Column2,Column3,Column4
증상 대분류,증상,유사문장,필수 추가 검사
배변,변 색 이상 ,변 색이 이상해요/변이 붉은색이에요/혈변/혈변을 봐요/변이 검정색이에요/변이 검은색이에요/흑변을 봐요/흑변,복부초음파
배변,설사,변이 묽어요/설사를해요/변이 뭉개져요/무른변을 봐요/젤리변을 봐요,
배변,변비,변이 딱딱해요/변을 잘 못봐요/변비가 있어요,
배뇨,소변 색 이상,소변색이 이상해요/혈뇨/혈뇨를 봐요/소변에 피가 있어요/소변에 피가 섞여있어요/소변색이 붉은색이에요/소변색이 갈색이에요/소변색이 주황색이에요/,
배뇨,소변 냄새 이상,소변 냄새가 이상해요/소변에서 생선 썩은 냄새가 나요/소변에서 썩은내가 나요/소변 냄새가 안좋아요,
식사 ,식욕부진,밥을 안먹어요/식욕이 없어요/식욕저하/간식을 안먹어요/사료를 안먹어요,
음수량,음수량 증가,물을 많이 마셔요/물을 자주 마셔요,
구토,구토,구토를 했어요/토를 했어요/토를 해요/혈토를 해요/피가 섞인 토를 해요/혈구토를 해요/노란색 구토를 해요/거품토를 해요/물 같은 구토를 했어요,
귀,귀를 긁고 냄새남,귀를 긁어요/귀를 많이 긁어요/귀에서 냄새가 나요/귀에서 악취가 나요,"검이경, 도말검사"
눈,눈물 과다,눈물이 많이 나요/눈물을 많이 흘려요/유루증/눈 주변이 젖어있어요,
눈,눈동자 색변화,눈동자가 흰색이에요/눈이 하얘졌어요/백내장,
눈,충혈,눈이 빨개요/눈이 충혈됐어요,
눈,눈곱,눈곱이 많이껴요/노란 눈곱이 많이 껴요/눈꼽이 많이 껴요,
눈,실명,눈이 안보여요/앞을 못봐요/계속 부딪혀요/앞을 못보는거 같애요,
발,발 핥음,발사탕을 해요/발을 자주 핥아요/발을 계속 핥아요/발을 핥아요,
다리,다리 절음,"다리를 절어요/절뚝여요/보행이상/발을 절어요, 앞다리를 절어요, 뒷다리를 절어요","전지방사선, 후지방사선"
피부,붉은 반점,피부에 붉은 반점이 있어요/피부에 빨간점이 있어요,
피부,뾰루지,뾰루지가 났어요/여드름이 났어요/뾰루지처럼 뭐가 났어요,
피부,종기,피부에 뭐가 만져져요/피부에 덩어리가 있어요/피부에 종기가 있어요/피부에 종양이 있어요,
피부,탈모,털이 빠져요/탈모가 생겼어요/털이 많이 빠져요 ,
구강,입냄새,입냄새가 심해요/입에서 냄새가 나요/침냄새가 나요/입에서 악취가 나요,
구강,치석,치석이 많이 있어요/치석이 심해요,
구강,"혀, 잇몸색이상 ",잇몸이 노래요/잇몸이 창백해요/잇몸이 하얘요/혀가 하얘요/혀가 창백해요/혀가 파래요/청색증,"흉부방사선, 심장초음파"
호흡기,기침,기침을 해요/거위소리를 내요/ 기침이 심해요/거위소리 기침을 해요 ,"흉부방사선, 심장초음파"
호흡기,호흡곤란,숨이 빨라요/숨을 잘 못 쉬어요/호흡수가 빨라요/호흡이 빨라요/개구호흡을 해요/입 벌리고 숨을 쉬어요,"흉부방사선, 심장초음파 "
생식기/항문,생식기 핥음,생식기에서 분비물이 나와요/생식기에서 뭐가 나와요/생식기를 핥아요,
생식기/항문,엉덩이 끌고다님,엉덩이를 바닥에 대고 끌고 다녀요/똥스키를 타요/똥꼬스키를 타요 ,
체중,비만,너무 뚱뚱해요/살이 많이 쪄요/비만이에요,
체중,체중감소,체중이 계속 빠져요/몸무게가 빠져요/체중이 감소해요,
행동,기력저하,기력이 없어요/힘이 없어요/안 움직여요/누워만 있어요 ,
행동,발작,발작했어요/경련했어요,"흉부방사선, 심장초음파"
행동,써클링,계속 제자리를 빙글빙글 돌아요/제자리를 돌아요,
